 

stn    time           gre000z0  prestas0  ure200s0
THU    202405050510         10     948.4      98.7
THU    202405050520         16     948.4      97.3
THU    202405050530         19     948.3      96.2
THU    202405050540         32     948.3      99.1
THU    202405050550         42     948.2      99.2
THU    202405050600         43     948.2      98.6
THU    202405050610         39     948.4      98.8
THU    202405050620         54     948.5      98.8
THU    202405050630         85     948.5      99.2
THU    202405050640         89     948.7      98.5
THU    202405050650         72     948.7      96.0
THU    202405050700         61     948.8      99.0
THU    202405050710        109     948.8      98.8
THU    202405050720        147     948.9      98.1
THU    202405050730        159     948.9      98.4
THU    202405050740        215     948.9      95.5
THU    202405050750        195     948.9      96.8
THU    202405050800        183     948.9      97.4
THU    202405050810        212     948.9      94.3
THU    202405050820        159     949.0      93.9
THU    202405050830        213     948.9      94.2
THU    202405050840        240     948.9      94.8
THU    202405050850        205     948.8      92.9
THU    202405050900        232     948.8      87.6
THU    202405050910        204     948.8      85.8
THU    202405050920        264     948.8      85.9
THU    202405050930        377     948.8      85.4
THU    202405050940        382     948.7      85.7
THU    202405050950        252     948.6      82.3
THU    202405051000        276     948.6      79.3
THU    202405051010        317     948.5      76.4
THU    202405051020        388     948.5      75.0
THU    202405051030        384     948.6      76.7
THU    202405051040        355     948.5      76.2
THU    202405051050        375     948.4      74.7
THU    202405051100        487     948.3      73.0
THU    202405051110        653     948.1      70.5
THU    202405051120        618     948.0      68.2
THU    202405051130        578     948.0      66.1
THU    202405051140        717     948.0      64.4
THU    202405051150        861     947.9      63.0
THU    202405051200        791     947.8      61.8
THU    202405051210        610     947.7      61.7
THU    202405051220        819     947.6      60.6
THU    202405051230        722     947.4      60.0
THU    202405051240        390     947.3      59.2
THU    202405051250        606     947.1      59.2
THU    202405051300        441     947.0      58.3
THU    202405051310        374     946.9      57.8
THU    202405051320        416     946.8      59.1
THU    202405051330        373     946.7      58.7
THU    202405051340        266     946.5      59.7
THU    202405051350        343     946.4      58.5
THU    202405051400        288     946.3      58.2
THU    202405051410        196     946.2      56.7
THU    202405051420        349     946.1      58.5
THU    202405051430        335     946.0      56.5
THU    202405051440        267     945.8      56.8
THU    202405051450        621     945.7      54.2
THU    202405051500        382     945.4      55.1
THU    202405051510        236     945.3      56.0
THU    202405051520        122     945.2      57.6
