 

stn    time           wkcap2d0  wkcap3d0  wkcap1d0  wkwtg1d0  wkwtp1d0  wkwtg2d0  wkwtp2d0  wkwtg3d0  wkwtp3d0  wkwtg0d0
RHW    20241004             13        22         1         9         5        17         5        25         5         5
RHW    20241005              6         3         1         9         6        17         6        25         6         4
RHW    20241006              7         4         2         3         2         3        10        19        10         3
RHW    20241007             11        21         2         1         2         9        10         9        10         2
RHW    20241008             14        19         7         2         2        10         2        18         2         2
RHW    20241009             14        24         9         1         2         9        10         9        10         2
RHW    20241010             16        15         9         2         3         2         3        18         3         2
RHW    20241011              1         3         1         1         5         1        13         1        13         1
RHW    20241012              4        17         3         1         8         9        16         9        16         1
RHW    20241013              2         1         1         1         3         9        11         9        11         1
RHW    20241014              2         2         3         1         2         9        10         9        10         1
RHW    20241015              5         2         4         1         7         9        15         9        15         1
RHW    20241016              5        17         3         2         8        10        16        10        16         8
RHW    20241017              4        17         3         2         8        10        16        10        16         8
RHW    20241018              4        17         3         8         8         8         8        24         8         7
RHW    20241019              6         7         3         8         7        16        15        16        15         8
RHW    20241020              5         8         5        10         8        18        16        26        16         1
RHW    20241021             10        12         5         2         8        10        16        10        16         2
RHW    20241022             10        12         5         2         4        10        12        10        12         2
RHW    20241023             17        18         8         2         6         2         6         2        22         1
RHW    20241024             10        12         5         2         8         2        16         2        16         2
RHW    20241025              5         8         3         2         8        10        16        18        16         2
RHW    20241026              5         2         3         2         8        10        16        10        16         8
RHW    20241027              5        11         3         2        10        10        18        10        26         2
RHW    20241028             10        12         5         1        10         9        18         9        26         1
RHW    20241029             10        12         5         3        10        11        18        11        26         3
RHW    20241030             10        16         5         4         6        12        14        20        14         4
RHW    20241031             10         8         5         5         6        13        14        13        14         6

