 

stn    time           tre200s0  tpo200s0
THU    202405041100       13.8      18.1
THU    202405041110       14.1      18.4
THU    202405041120       14.5      18.9
THU    202405041130       14.6      19.0
THU    202405041140       14.3      18.7
THU    202405041150       14.8      19.2
THU    202405041200       15.3      19.7
THU    202405041210       15.8      20.2
THU    202405041220       15.5      19.9
THU    202405041230       16.1      20.5
THU    202405041240       15.8      20.2
THU    202405041250       16.3      20.8
THU    202405041300       16.2      20.7
THU    202405041310       16.4      20.9
THU    202405041320       16.8      21.3
THU    202405041330       16.2      20.7
THU    202405041340       16.1      20.6
THU    202405041350       16.7      21.2
THU    202405041400       16.5      21.0
THU    202405041410       16.4      20.9
THU    202405041420       16.4      20.9
THU    202405041430       16.4      20.9
THU    202405041440       16.4      20.9
THU    202405041450       16.2      20.7
THU    202405041500       16.4      20.9
THU    202405041510       16.3      20.8
THU    202405041520       16.3      20.8
THU    202405041530       16.6      21.1
THU    202405041540       16.5      21.0
THU    202405041550       16.7      21.2
THU    202405041600       16.5      21.0
THU    202405041610       16.5      21.1
THU    202405041620       16.5      21.1
THU    202405041630       16.4      21.0
THU    202405041640       16.9      21.5
THU    202405041650       16.6      21.2
THU    202405041700       16.5      21.1
THU    202405041710       16.4      21.0
THU    202405041720       16.5      21.1
THU    202405041730       16.1      20.6
THU    202405041740       15.8      20.3
THU    202405041750       15.5      20.0
THU    202405041800       14.5      19.0
THU    202405041810       14.4      18.9
THU    202405041820       13.0      17.5
THU    202405041830       12.9      17.4
THU    202405041840       12.1      16.6
THU    202405041850       12.3      16.8
THU    202405041900       12.6      17.1
THU    202405041910       12.5      17.0
THU    202405041920       12.5      17.0
THU    202405041930       11.4      15.8
THU    202405041940       11.8      16.2
THU    202405041950       11.4      15.8
THU    202405042000        9.9      14.3
THU    202405042010       10.1      14.5
THU    202405042020        9.6      14.0
THU    202405042030       10.0      14.4
THU    202405042040        9.5      13.9
THU    202405042050        9.1      13.5
THU    202405042100        9.3      13.7
THU    202405042110        9.6      14.0
THU    202405042120        9.8      14.2
THU    202405042130        9.9      14.3
THU    202405042140       10.0      14.4
THU    202405042150       10.1      14.5
THU    202405042200       10.3      14.7
THU    202405042210       10.3      14.7
THU    202405042220        9.8      14.2
THU    202405042230       10.1      14.5
THU    202405042240       10.6      15.0
THU    202405042250       11.0      15.4
THU    202405042300       11.0      15.4
THU    202405042310       10.5      14.9
THU    202405042320       10.2      14.6
THU    202405042330       10.0      14.3
THU    202405042340        9.9      14.2
THU    202405042350        9.2      13.5
THU    202405050000        9.6      13.9
THU    202405050010        9.4      13.7
THU    202405050020        9.4      13.7
THU    202405050030        9.3      13.6
THU    202405050040        9.8      14.2
THU    202405050050        9.9      14.3
THU    202405050100        9.9      14.3
THU    202405050110        9.9      14.2
THU    202405050120       10.2      14.5
THU    202405050130       10.0      14.3
THU    202405050140        9.9      14.2
THU    202405050150        9.7      14.0
THU    202405050200        9.6      13.9
THU    202405050210        9.6      13.9
THU    202405050220        9.8      14.1
THU    202405050230        9.8      14.2
THU    202405050240        9.7      14.0
THU    202405050250        9.8      14.1
