"Log_NR","UHI_mean","UHI_max","UHI_min","AT_mean","AT_max","AT_min","AT_LCD_mean","AT_LCD_max","AT_LCD_min","NORD_CHTOPO","OST_CHTOPO","LV_03_N","LV_03_E","LU_7","Location"
"412",2.74767103143957,5.7080949111162,-0.377050431067364,16.3143442622951,24.8,8.6,19.3858185609373,28.3574934513364,10.3768342615905,46.75875,7.62995,1178637,2614616,"dense urban","Innenstadt"
"413",1.55516433409176,5.8049388367539,-0.91458762493324,16.3143442622951,24.8,8.6,18.1807444276999,26.1549172198062,9.22592253503217,46.75683,7.63252,1178424,2614813,"water","Aarequai"
"414",2.22824878307849,6.2148343124539,-0.388087790239311,16.3143442622951,24.8,8.6,19.0295239463723,27.9030924951044,9.6055542839704,46.75517,7.62994,1178239,2614616,"dense urban","Busbahnhof"
"416",1.91863785010833,6.47844027364512,-1.26466773479819,16.3143442622951,24.8,8.6,18.5444619665748,27.1780982172376,9.54146639200427,46.7496,7.63395,1177620,2614924,"dense urban","ESP Thun Bahnhof"
"417",1.30422529642671,5.75433610538898,-2.20524656036214,16.3143442622951,24.8,8.6,17.9141738981253,25.6787085781135,8.44307113247374,46.74835,7.64059,1177483,2615432,"forest","Bächihölzli"
"418",1.52419181182769,6.48244576689301,-2.14534218356603,16.3143442622951,24.8,8.6,18.1496246249302,26.3832303349355,9.265977467511,46.74619,7.63853,1177242,2615275,"water","Schadau"
"420",1.54443199758203,5.33362579791969,-1.66049947865008,16.3143442622951,24.8,8.6,18.1811243199197,26.5719335723913,9.39059281300069,46.74678,7.62247,1177305,2614048,"green urban","Hohmad"
"421",1.30203862100248,3.94799216703543,-0.773282724244041,16.3143442622951,24.8,8.6,17.9280736639893,26.6004170799318,8.94286767884845,46.73948,7.61728,1176492,2613653,"green urban","Neufeld"
"422",1.48112452894737,6.00788382797996,-2.81230131481905,16.3143442622951,24.8,8.6,18.1080534699474,24.8673736680145,9.47693344523283,46.74004,7.63322,1176557,2614871,"water","Strandbad"
"423",1.38312370468149,4.01194654255995,-0.977117825080747,16.3143442622951,24.8,8.6,18.0091440193175,26.7072302332087,8.56234582029959,46.7316,7.61812,1175616,2613719,"dense urban","Schoren"
"424",0.179900114372988,1.92174664937311,-2.7835952798759,16.3143442622951,24.8,8.6,16.8071055413246,24.555390249485,8.32513160906386,46.7309,7.60847,1175537,2612982,"rural","Buchholz"
"425",0.803566874753739,3.76115815976196,-2.05214770733196,16.3143442622951,24.8,8.6,17.4299422679464,25.3725108720531,8.46042826988123,46.71913,7.62173,1174231,2613998,"green urban","Gwatt"
"426",0.281233569951976,5.36914117138425,-3.74469113196511,16.3143442622951,24.8,8.6,17.1143337570225,25.9485008010986,7.08155947203784,46.76323,7.6639,1179141,2617208,"rural","Goldiwil"
"427",1.77847357001539,4.32415248849215,-0.621519035629817,16.3143442622951,24.8,8.6,18.4042245885883,27.8978408484016,9.65896086060883,46.76287,7.61278,1179091,2613303,"dense urban","Uttigenstrasse"
"428",1.81967729258965,5.41017522443478,-0.691170112662444,16.3143442622951,24.8,8.6,18.445183207589,27.8394496579436,9.21168078126192,46.7577,7.61767,1178518,2613678,"dense urban","Expo"
"429",1.35524285012052,4.29633656315963,-0.579906411332367,16.3143442622951,24.8,8.6,17.981322005684,26.9057246763816,9.11243355967549,46.7517,7.61156,1177850,2613213,"green urban","Schönau/Westquartier"
"430",0.358643173322958,3.04746827395031,-1.96202410925459,16.3143442622951,24.8,8.6,16.9667444575526,25.1544340174461,8.94998855573358,46.74637,7.6099,1177257,2613087,"low green","Sportcluster"
"431",1.36742887469528,5.52330815594721,-1.81938404414944,16.3143442622951,24.8,8.6,17.9898263519824,26.2764171816587,9.13023575188831,46.74939,7.63001,1177596,2614623,"green urban","Seefeld"
"432",0.832867865773244,3.17190559751787,-2.1932300806185,16.3143442622951,24.8,8.6,17.4372295003648,26.2528292769767,8.73636224917983,46.78555,7.63076,1181616,2614671,"green urban","Flühli"
"433",0.579202797975079,2.78470791688919,-2.57820248722057,16.3143442622951,24.8,8.6,17.2063271294242,25.1406373184812,8.582373286539,46.77786,7.63956,1180763,2615345,"green urban","Zelgmatt"
"434",1.02148684260143,3.35749345133644,-2.22705424582284,16.3143442622951,24.8,8.6,17.6350594121017,25.7124437323568,8.85163144375779,46.77766,7.63401,1180739,2614921,"green urban","Unterdorfstrasse"
"435",0.822314290213358,3.44160880954198,-2.04760814831769,16.3143442622951,24.8,8.6,17.448635422132,26.0756974644592,8.47823046209405,46.77383,7.62668,1180312,2614362,"green urban","Sägeweg"
"436",1.50827988320926,3.92805371175708,-0.749027237354081,16.3143442622951,24.8,8.6,18.1342123952869,27.0129828844638,9.34973678187228,46.77195,7.61591,1180102,2613540,"green urban","Burgergut"
"437",1.05480031235706,3.2560209557234,-1.63068080669362,16.3143442622951,24.8,8.6,17.681112082804,26.1019556979731,9.0074006256199,46.76882,7.6265,1179755,2614350,"low green","Hodelmatte"
"438",1.44455724101555,3.91648228681874,-1.23992268762239,16.3143442622951,24.8,8.6,18.0707120852532,27.1571806413876,9.18008189008418,46.76616,7.6223,1179459,2614030,"green urban","Schwäbis"
