"Log_NR","UHI_mean","UHI_max","UHI_min","AT_mean","AT_max","AT_min","AT_LCD_mean","AT_LCD_max","AT_LCD_min","NORD_CHTOPO","OST_CHTOPO","LV_03_N","LV_03_E","LU_7","Location"
"427",2.07806027679712,3.73432135500115,0.363120215660842,16.4333333333333,21.1875,12.3625,18.842216583898,23.7263866636149,15.1469872968643,46.76287,7.61278,1179091,2613303,"dense urban","Uttigenstrasse"
"428",2.05636898472788,3.79013679077338,0.125416444139264,16.4333333333333,21.1875,12.3625,18.8205252918288,23.915201164772,14.9701336436001,46.7577,7.61767,1178518,2613678,"dense urban","Expo"
"429",1.51224637656029,3.20299823885455,0.227890313064265,16.4333333333333,21.1875,12.3625,18.2764026836612,23.1013962005035,14.1497863736934,46.7517,7.61156,1177850,2613213,"green urban","Schönau/Westquartier"
"430",0.216357324677306,1.66138402507566,-0.275155133389283,16.4333333333333,21.1875,12.3625,16.9805136317782,21.5545525927621,12.546643333079,46.74637,7.6099,1177257,2613087,"low green","Sportcluster"
"431",1.69299050241486,4.05271912591236,0.0454456588082692,16.4333333333333,21.1875,12.3625,18.4571468095158,23.2524923069098,14.3169044530912,46.74939,7.63001,1177596,2614623,"green urban","Seefeld"
"432",1.13462291334802,2.38033668396023,-0.188402825462223,16.4333333333333,21.1875,12.3625,17.8987792204489,23.1371674804812,14.0798571374075,46.78555,7.63076,1181616,2614671,"green urban","Flühli"
"433",0.838109363837505,2.44965396988886,-0.191139912514938,16.4333333333333,21.1875,12.3625,17.6022656709384,22.5614334579487,14.0094717199461,46.77786,7.63956,1180763,2615345,"green urban","Zelgmatt"
"434",1.31658002226687,3.05529011215381,0.0458628976882576,16.4333333333333,21.1875,12.3625,18.0807363293678,23.0700198367285,14.4999443681493,46.77766,7.63401,1180739,2614921,"green urban","Unterdorfstrasse"
"435",1.05958216964025,2.98220654993515,-0.378741639327586,16.4333333333333,21.1875,12.3625,17.8237384767412,22.8804821215127,14.1962389689988,46.77383,7.62668,1180312,2614362,"green urban","Sägeweg"
"436",1.77303310340762,3.42198745581242,0.114089799343862,16.4333333333333,21.1875,12.3625,18.5371894105085,23.3333365122962,14.8573122504514,46.77195,7.61591,1180102,2613540,"green urban","Burgergut"
"437",1.32330254941264,2.69250368759696,-0.0181137305765358,16.4333333333333,21.1875,12.3625,18.0874588565136,22.9558632791638,14.4557615523512,46.76882,7.6265,1179755,2614350,"low green","Hodelmatte"
"438",1.7009259162927,3.57226577401389,0.142996108949417,16.4333333333333,21.1875,12.3625,18.4650822233936,23.380745975433,14.5681378906945,46.76616,7.6223,1179459,2614030,"green urban","Schwäbis"
