term,estimate,std.error,statistic,p.value,significant
GA_1000:WD_8S,-0.150353909,1.146838315,-0.13110297,0.895703441,FALSE
DEM_150:GWT26_Z5004,-0.000359674,0.0027487,-0.130852544,0.895901527,FALSE
GWT26_Z5005,3.901035168,30.05421638,0.12979993,0.896734212,FALSE
SE_50:GWT26_Z50019,-0.061023038,0.479161035,-0.127353924,0.898669594,FALSE
DEM_150:GWT26_Z5005,-0.006656391,0.053054918,-0.12546228,0.900166756,FALSE
NDVI:GWT26_Z50024,-0.228893847,1.852813442,-0.123538529,0.901689694,FALSE
FO_500:WD_8SE,0.441580132,4.106271483,0.107537978,0.914370043,FALSE
SLO:WD_L_8_3dNW,0.00385849,0.036530035,0.10562513,0.915887489,FALSE
SE_50:WD_L_8NW,-0.076421706,0.738263718,-0.103515457,0.917561431,FALSE
NDVI:WD_L_8S,0.191810635,1.892995989,0.101326488,0.919298677,FALSE
SE_50:WD_8W,-0.055351417,0.591356688,-0.093600729,0.925433149,FALSE
FO_500:WD_8S,-0.339527702,3.794008955,-0.089490485,0.928698632,FALSE
SLO:WD_8E,-0.004382822,0.049447082,-0.088636613,0.929377163,FALSE
DEM_150:GR_3d,5.56165396383014e-07,6.63523416818414e-06,0.08382001,0.933205639,FALSE
DEM_150:WD_L_8_3dE,0.000193662,0.002414691,0.080201365,0.936082941,FALSE
SLO,0.005774986,0.074270543,0.077756078,0.938027742,FALSE
SLO:WD_8SW,-0.003033321,0.039371019,-0.077044512,0.938593739,FALSE
BH_25:WD_L_8_3dS,0.004604715,0.060507296,0.07610182,0.939343628,FALSE
GR,-0.122380967,1.622816581,-0.075412692,0.939891847,FALSE
GA_1000:GWT26_Z50018,0.052540382,0.698326482,0.075237562,0.940031171,FALSE
GA_1000:GWT26_Z5008,0.071098153,0.944990149,0.075236925,0.940031678,FALSE
GA_1000:GWT26_Z50011,0.059323057,0.800583496,0.074099775,0.940936383,FALSE
BH_25:GWT26_Z5005,-0.00391672,0.060581147,-0.064652463,0.948455412,FALSE
SE_50:GWT26_Z50017,0.022626376,0.359149542,0.062999876,0.949771182,FALSE
SLO:WD_L_8_3dSE,-0.002071577,0.035724342,-0.05798783,0.953762535,FALSE
SE_50:WD_L_8W,-0.039913843,0.719564496,-0.055469445,0.955768502,FALSE
SE_50:GWT26_Z5007,-0.02548231,0.494093178,-0.051573895,0.958871966,FALSE
GA_1000:WD_L_8NE,0.063293673,1.614395989,0.039205792,0.968729162,FALSE
GWT26_Z5002,-0.033640731,0.864300424,-0.038922497,0.968955005,FALSE
SLO:GWT26_Z50018,0.000997317,0.02570777,0.038794372,0.969057148,FALSE
WD_L_8_3dSW,-0.0444469,1.41133145,-0.031492886,0.974878751,FALSE
FO_500:GWT26_Z5009,-0.071338807,2.305945802,-0.030936896,0.97532211,FALSE
BH_25:WD_L_8_3dNE,0.00177858,0.05773637,0.030805198,0.975427131,FALSE
FO_500:GR_3d,0.000195385,0.008541629,0.022874429,0.981752097,FALSE
FO_500,0.159684445,7.293349171,0.021894529,0.982533677,FALSE
NDVI:GWT26_Z50017,-0.019266442,0.897591727,-0.021464593,0.982876605,FALSE
DEM_150:GWT26_Z50015,7.78894965899685e-05,0.004024977,0.01935154,0.984562072,FALSE
FO_500:PP_bool_1d,0.005597574,0.936644971,0.005976196,0.995232147,FALSE
BH_25:GR,0.000100153,0.058137091,0.001722697,0.998625612,FALSE
FO_500:GWT26_Z5005,NA,NA,NA,NA,NA
FO_500:GWT26_Z50012,NA,NA,NA,NA,NA
GA_1000:GWT26_Z5005,NA,NA,NA,NA,NA
GA_1000:GWT26_Z50012,NA,NA,NA,NA,NA
NDVI:GWT26_Z5005,NA,NA,NA,NA,NA
NDVI:GWT26_Z50012,NA,NA,NA,NA,NA
SE_50:GWT26_Z5005,NA,NA,NA,NA,NA
SE_50:GWT26_Z50012,NA,NA,NA,NA,NA
SLO:GWT26_Z5005,NA,NA,NA,NA,NA
SLO:GWT26_Z50012,NA,NA,NA,NA,NA
