 

stn    time           rre150z0
THU    202406010230        0.0
THU    202406010240        0.0
THU    202406010250        0.0
THU    202406010300        0.0
THU    202406010310        0.0
THU    202406010320        0.0
THU    202406010330        0.0
THU    202406010340        0.0
THU    202406010350        0.0
THU    202406010400        0.0
THU    202406010410        0.0
THU    202406010420        0.0
THU    202406010430        0.0
THU    202406010440        0.0
THU    202406010450        0.0
THU    202406010500        0.0
THU    202406010510        0.0
THU    202406010520        0.0
THU    202406010530        0.0
THU    202406010540        0.0
THU    202406010550        0.0
THU    202406010600        0.0
THU    202406010610        0.0
THU    202406010620        0.0
THU    202406010630        0.1
THU    202406010640        0.0
THU    202406010650        0.0
THU    202406010700        0.0
THU    202406010710        0.0
THU    202406010720        0.0
THU    202406010730        0.0
THU    202406010740        0.0
THU    202406010750        0.0
THU    202406010800        0.0
THU    202406010810        0.0
THU    202406010820        0.0
THU    202406010830        0.0
THU    202406010840        0.0
THU    202406010850        0.0
THU    202406010900        0.0
THU    202406010910        0.0
THU    202406010920        0.0
THU    202406010930        0.0
THU    202406010940        0.0
THU    202406010950        0.0
THU    202406011000        0.0
THU    202406011010        0.0
THU    202406011020        0.0
THU    202406011030        0.0
THU    202406011040        0.0
THU    202406011050        0.0
THU    202406011100        0.0
THU    202406011110        0.0
THU    202406011120        0.0
THU    202406011130        0.0
THU    202406011140        0.0
THU    202406011150        0.0
THU    202406011200        0.0
THU    202406011210        0.0
THU    202406011220        0.0
THU    202406011230        0.0
THU    202406011240        0.0
THU    202406011250        0.0
THU    202406011300        0.0
THU    202406011310        0.0
THU    202406011320        0.0
THU    202406011330        0.0
THU    202406011340        0.0
THU    202406011350        0.0
THU    202406011400        0.0
THU    202406011410        0.0
THU    202406011420        0.0
THU    202406011430        0.0
THU    202406011440        0.0
THU    202406011450        0.0
THU    202406011500        0.0
THU    202406011510        0.0
THU    202406011520        0.0
THU    202406011530        0.0
THU    202406011540        0.0
THU    202406011550        0.0
THU    202406011600        0.0
