time,Log_NR,valid_hours,T_mean,H_mean,UHI_mean,HI_mean,T_min,H_min,UHI_min,HI_min,T_max,H_max,UHI_max,HI_max,valid_hours_night,T_min_night,Tropical_night,Gfroerli_night,T_mean_night,UHI_night,valid_hours_day,T_mean_day,T_max_day,Summer_day,Hot_day,Very_hot_day,UHI_day
2024-10-01T22:00:00Z,Log_438,24,13.555434225138391,69.6071819129727,0.4083118223510773,12.784375,11.247806515602347,48.56244754711223,-0.9559777218280345,10.47,16.617837796597236,85.3385976958877,1.7036697947661565,15.63,10,8.120851453421835,0,1,10.436082182548766,0.2100992472215868,16,13.899192702372778,16.617837796597236,0,0,0,0.413862026652426
2024-10-02T22:00:00Z,Log_401,24,10.499457986826378,73.06728831286081,0,9.5135,8.358510719462885,60.16884107728694,0,7.35,12.737850003814756,80.48432135500114,0,11.67,10,8.90058747234302,0,1,9.381280041199359,0,16,10.84322944482592,12.737850003814756,0,0,0,0
2024-10-02T22:00:00Z,Log_402,24,10.621684871527513,73.56515496384459,0.12222688470113496,9.660680555555556,8.347829404135197,58.74212252994583,-0.5367360952162912,7.35,13.133058670939192,81.46471351186389,0.7450217441062055,12.08,10,8.892576485847258,0,1,9.415382365657027,0.03410232445766859,16,10.989891692734162,13.133058670939192,0,0,0,0.14666224790824245
2024-10-02T22:00:00Z,Log_404,24,10.422420854420453,69.82342953934709,-0.077037132405925135,9.343076388888889,8.211642633707179,58.40260929274433,-0.7877470054169535,7.09,12.866025787747006,76.99191271839474,0.5821316853589664,11.74,10,8.633554589150833,0,1,9.2739828908217,-0.10729715037765963,16,10.76277466239414,12.866025787747006,0,0,0,-0.08045478243177939
2024-10-02T22:00:00Z,Log_405,24,10.171367293134288,75.6003746937599,-0.32809069369209,9.21826388888889,7.792401007095442,61.53643091477837,-1.2630655374990472,6.84,12.355992980849926,84.56801709010452,0.27237354085603194,11.3,10,8.75371938658732,0,1,9.239663602146436,-0.14161643905292287,16,10.5066790010427,12.355992980849926,0,0,0,-0.33655044378321897
2024-10-02T22:00:00Z,Log_406,24,10.780294986563584,69.55098049812229,0.2808369997372058,9.73,8.454642557412072,56.411306935225454,-0.793087663080799,7.39,13.223849851224536,77.69573510337987,1.0681315327687457,12.09,10,9.242389562829024,0,1,9.731393530174715,0.35011348897535655,16,11.083164053559166,13.223849851224536,0,0,0,0.2399346087332468
2024-10-02T22:00:00Z,Log_407,24,10.651822499427787,69.95618965268771,0.15236451260140882,9.599277777777777,8.25169756618601,57.11703669794766,-0.9185931181811284,7.16,13.060959792477306,77.78919661249714,0.9506370641641837,11.93,10,9.074158846417944,0,1,9.626071310495663,0.24479126929630368,16,10.950710180310775,13.060959792477306,0,0,0,0.10748073548485593
2024-10-02T22:00:00Z,Log_408,24,10.528393966752287,71.87625939913363,0.02893597992590813,9.513402777777777,8.14221408407721,57.439383535515375,-1.0601205462729855,7.1,13.020904859998474,80.24589913786527,0.8251316090638596,11.88,10,8.972686350804914,0,1,9.435654612039368,0.054374570840009184,16,10.9202461788866,13.020904859998474,0,0,0,0.0770167340606811
2024-10-02T22:00:00Z,Log_409,24,10.315305434754967,80.77715682035893,-0.1841525520714118,9.511805555555556,8.04074158846418,67.22041657129778,-1.0440985732814543,7.22,12.34264133669032,89.25253681239033,0.7957579919127156,11.41,10,8.75371938658732,0,1,9.320107258208083,-0.061172782991276264,16,10.555968820731925,12.34264133669032,0,0,0,-0.2872606240939941
2024-10-02T22:00:00Z,Log_410,24,10.003711439180083,74.34845936861558,-0.495746547646295,9.001111111111111,7.672236209658962,62.043793392843526,-1.5274280918593153,6.6,12.29991607537957,81.27397573815519,0.8091096360723213,11.22,10,8.032730601968417,0,1,8.811075824622975,-0.5702042165763839,16,10.213415700261947,12.29991607537957,0,0,0,-0.6298137445639718
2024-10-02T22:00:00Z,Log_411,24,10.596390923425142,71.49058232242314,0.09693293659876367,9.578486111111111,8.155565728236823,59.15411612115663,-1.0013733119707027,7.08,12.895399404898145,78.86877241168841,1.4099336232547426,11.79,10,8.809796292057676,0,1,9.44816065206887,0.0668806108695108,16,10.816298065918975,12.895399404898145,0,0,0,-0.026931378906944303
2024-10-02T22:00:00Z,Log_412,24,11.170131471308801,68.12135584886786,0.6706734844824229,10.121138888888888,9.031433585107196,57.550011444266424,-0.3391317616540803,7.92,13.122377355611505,74.25482566567483,2.440680552376591,12,NA,NA,NA,NA,NA,NA,16,11.295574804175885,13.122377355611505,0,0,0,0.452345359349966
2024-10-02T22:00:00Z,Log_413,24,10.826895933470665,70.41800289073693,0.32743794664428627,9.803749999999999,8.69497215228504,58.86800946059357,-0.6542305638208603,7.63,12.663080796520944,78.14587624933242,1.3885709925993694,11.56,10,9.36789501792935,0,1,9.90257273467104,0.5212926934716808,16,11.009201508099999,12.663080796520944,0,0,0,0.16597206327407932
2024-10-02T22:00:00Z,Log_414,24,10.983926103947848,70.2139532099048,0.48446811712146953,9.970833333333333,8.735027084763864,58.56473640039674,-0.47264820325017176,7.67,13.309300373846035,77.8979171435111,1.2630655374990454,12.23,10,9.365224689097433,0,1,9.91414415960937,0.5328641184100107,16,11.242688385341166,13.309300373846035,0,0,0,0.3994589405152471
2024-10-02T22:00:00Z,Log_416,24,10.773656252384223,72.44147900189043,0.2741982655578443,9.798333333333334,8.668268863965821,60.31761654077974,-0.7156481269550667,7.67,12.76989394979782,79.73281452658884,1.1455710688944833,11.68,10,9.050125886930651,0,1,9.675094097301697,0.29381405610233813,16,10.989507832964573,12.76989394979782,0,0,0,0.14627838813865424
2024-10-02T22:00:00Z,Log_417,24,10.123616621313463,71.88127951137221,-0.37584136551291536,9.068194444444444,8.139543755245292,61.33234149691005,-1.5274280918593135,7.02,11.880674448767834,79.6221866178378,0.6916151674677664,10.78,10,8.385214007782103,0,1,9.179469939726864,-0.20181010147249445,16,10.27010455608962,11.880674448767834,0,0,0,-0.5731248887362987
2024-10-02T22:00:00Z,Log_418,24,10.672795707128506,74.65838175953476,0.17333772030212735,9.744791666666666,8.692301823453114,62.78004119935912,-0.8411535820553908,7.73,12.38536659800107,81.81948577096207,1.2577248798352088,11.42,10,8.756389715419239,0,1,9.607278871341014,0.22599883014165556,16,10.811680622313776,12.38536659800107,0,0,0,-0.03154882251214275
2024-10-02T22:00:00Z,Log_420,24,10.65529021811924,70.5373199647347,0.1558322312928624,9.618055555555555,8.446631570916303,59.150301365682466,-0.6969558251316101,7.37,12.76989394979782,77.70717936980239,0.9159227893492012,11.65,10,8.841840238040739,0,1,9.492565995269704,0.11128595407034503,16,10.92619878690776,12.76989394979782,0,0,0,0.08296934208184048
2024-10-02T22:00:00Z,Log_421,24,10.421080126819426,73.48253636733553,-0.07837786000695246,9.437416666666667,8.401235980773635,60.88410772869459,-0.7957579919127227,7.41,12.508201724269476,81.05653467612726,0.5367360952162912,11.43,10,8.540093080033571,0,1,9.249543818824545,-0.13173622237481375,16,10.710875708908725,12.508201724269476,0,0,0,-0.13235373591719402
2024-10-02T22:00:00Z,Log_422,24,10.719322478234702,71.1754172918627,0.2198644914083232,9.705069444444444,8.69497215228504,60.269932097352566,-0.843823910887318,7.66,12.433432516975664,79.078583962768,1.137560082398716,11.32,10,8.983367666132601,0,1,9.633982159660233,0.2527021184608742,16,10.920496522214593,12.433432516975664,0,0,0,0.07726707738867411
2024-10-02T22:00:00Z,Log_423,24,10.72913222790197,70.99764703763044,0.22967424107559076,9.71125,8.991378652628363,59.97810330357824,-0.3364614328221567,7.95,12.580300602731365,77.11017013809415,1.0521095597772145,11.46,10,8.801785305561914,0,1,9.50302478319473,0.12174474199537144,16,11.003276716004171,12.580300602731365,0,0,0,0.1600472711782519
2024-10-02T22:00:00Z,Log_424,24,10.321495405338963,74.552485207226,-0.1779625814874155,9.355263888888889,8.932631418326082,62.554970626382854,-0.8091096360723284,7.95,11.995498588540473,80.89822232394903,0.659571221484704,10.89,10,8.484016174563209,0,1,9.265365517153684,-0.11591452404567448,16,10.559084204369167,11.995498588540473,0,0,0,-0.28414524045675194
2024-10-02T22:00:00Z,Log_425,24,10.38182258420013,74.06334613395725,-0.11763540262624872,9.409375,9.21301594567788,63.45143816281376,-0.9132524605172847,8.22,11.824597543297472,80.32028686961166,0.9426260776684199,10.74,10,8.366521705958647,0,1,9.136188359909463,-0.245091681289896,16,10.590516199994914,11.824597543297472,0,0,0,-0.2527132448310052
2024-10-02T22:00:00Z,Log_426,24,7.9420933364699104,76.93132963302052,-2.557364650356468,6.801013888888889,6.90051117723354,67.82696269169146,-3.7785152971694487,5.69,9.63759822995346,82.55001144426642,-0.8945601586938281,8.45,10,5.746929121843287,0,1,6.392664702067598,-2.988615339131761,16,7.953786224282191,9.63759822995346,0,0,0,-2.889443220543728
2024-10-02T22:00:00Z,Log_427,24,10.783243474648831,69.41631962988394,0.2837854878224526,9.729750000000001,8.382543678950178,56.766079194323645,-0.6836041809719955,7.3,13.277256427862971,77.33714808880751,1.0627908751049038,12.16,10,9.071488517586026,0,1,9.670977340352483,0.2896972991531239,16,11.11442915363292,13.277256427862971,0,0,0,0.27119970880699995
2024-10-02T22:00:00Z,Log_428,24,10.613065643464475,70.02252666090214,0.1136076566380968,9.558194444444444,8.139543755245292,57.88761730373083,-0.8892195010299826,7.05,12.940794995040818,78.1344319829099,1.0681315327687457,11.81,10,8.940642404821851,0,1,9.505472584623991,0.12419254342463226,16,10.896602642353958,12.940794995040818,0,0,0,0.05337319752803893
2024-10-02T22:00:00Z,Log_429,24,10.6676590329171,71.232810817798807,0.16820104609072217,9.650833333333333,8.393224994277865,58.55710688944839,-0.7370107576104328,7.34,12.954146639200424,79.01373311970703,0.7637140459296532,11.84,10,8.96734569314107,0,1,9.504081788357365,0.12280174715800563,16,10.98107960758882,12.954146639200424,0,0,0,0.1378501627629003
2024-10-02T22:00:00Z,Log_430,24,10.278328798012936,75.15473707857548,-0.22112918881344257,9.323958333333334,8.000686655985355,61.71763179980164,-1.0040436408026299,7.04,12.355992980849926,83.66010528725108,0.4432745860990295,11.27,10,8.673609521629665,0,1,9.260469914295161,-0.1208101269041979,16,10.586343811195036,12.355992980849926,0,0,0,-0.25688563363088335
2024-10-02T22:00:00Z,Log_431,24,10.531320202097268,71.15140817459712,0.031862215270889394,9.497902777777778,8.305104142824447,59.409704737926305,-0.8438239108873162,7.22,12.775234607461664,79.91973754482338,0.6702525368123915,11.7,10,8.65224689097429,0,1,9.37658471300323,-0.004695328196129722,16,10.847501970956994,12.775234607461664,0,0,0,0.004272526131074983
2024-10-02T22:00:00Z,Log_432,24,10.364669430245076,70.24872311657045,-0.1347885565813023,9.291319444444444,8.04074158846418,59.03585870145725,-1.7303730830853752,6.96,12.92210269321736,79.03852903028915,0.8010986495765575,11.82,10,8.430609597924771,0,1,9.153211706212964,-0.22806833498639456,16,10.69260064596526,12.92210269321736,0,0,0,-0.15062879886065872
2024-10-02T22:00:00Z,Log_433,24,10.247731280147164,71.62570943855278,-0.2517267066792144,9.198180555555556,7.7710383764400675,59.04921034561684,-2.0561532005798426,6.64,12.92210269321736,79.79575799191272,0.9880216678110969,11.84,10,8.60952162966354,0,1,9.384918364232853,0.003638323033493762,16,10.568597250832887,12.92210269321736,0,0,0,-0.27463219399303185
2024-10-02T22:00:00Z,Log_434,24,10.488632028686961,71.24729629205768,-0.010825958139417224,9.453486111111111,8.206301976043335,58.94239719233997,-1.7624170290684376,7.09,12.831311512932018,79.68894483863585,0.8304722667277051,11.72,10,8.841840238040739,0,1,9.496771763179982,0.1154917219806233,16,10.810979660995397,12.831311512932018,0,0,0,-0.03224978383052246
2024-10-02T22:00:00Z,Log_435,24,10.228490077397149,80.57279719064452,-0.27096790942922944,9.410791666666666,7.701609826810099,65.10131990539406,-1.911955443656062,6.82,13.028915846494243,90.00595101853972,0.9693293659876385,12.12,10,8.43862058442054,0,1,9.06297684443427,-0.318303196765088,16,10.588747107143766,13.028915846494243,0,0,0,-0.25448233768215367
