hour,Log_NR,T_mean,H_mean,UHI_mean,HI_mean
9,Log_431,15.745661229612189,72.35351022986453,0.5071645826265643,15.276750499001995
9,Log_432,15.151822654499147,73.29614524386832,0.007888459061708358,14.643534552845528
9,Log_433,15.190389575024343,73.51217382911175,0.03040804039096216,14.696891812865497
9,Log_434,15.572314730042471,74.58605929401593,-0.5609048451478441,15.132632142857142
9,Log_435,14.8681465706454,85.29403712649555,-0.4487017668399339,14.649640786749483
9,Log_436,14.934172180319056,74.12597657000845,-0.18129979027121473,14.427124031007752
9,Log_437,15.075421930923842,73.21920649292457,0.1268132315282695,14.561267955801105
9,Log_438,15.221284332989624,74.36211851874187,0.005600138101854946,14.747679640718562
10,Log_401,16.825026872582203,71.19369657931554,0,16.42820512820513
10,Log_402,16.873903634009803,72.56646680959585,0.04887676142760021,16.517758382643
10,Log_403,16.491653785334826,75.97663383886682,-1.9225172648168414,16.18
10,Log_404,15.955569601552137,69.34684053753251,-0.255372743995999,15.4174375
10,Log_405,16.23209630405966,73.8927148357997,-0.5447078431523038,15.840511695906432
10,Log_406,16.472995989098862,69.10981151819375,-0.2745366652175114,15.981568007662835
10,Log_407,16.198619593922626,70.45855855634781,-0.599999436543104,15.71451559454191
10,Log_408,16.59112293170794,70.24046550013061,-0.1488157930575666,16.142690751445087
10,Log_409,16.31222858746649,80.15931745333877,-0.9206777289006437,16.092081534772184
10,Log_410,14.838302814545923,76.64725755518643,-1.9540757991160305,14.379229044834307
10,Log_411,16.107012344605543,70.68773857317348,-0.5056802768664754,15.620974860335195
10,Log_412,16.864137729900545,67.8017490038566,-0.6468868483059377,16.37626559139785
10,Log_413,15.809865120300827,71.08407318150014,-0.9609857734450584,15.302506782945736
10,Log_414,16.88845161417697,70.1048966569357,-0.27747498156201555,16.464583333333334
10,Log_416,16.62604640861965,71.45347701337344,-0.2241833321858056,16.21098611111111
10,Log_417,13.791837970162057,76.7165657001833,-1.801068891862039,13.229666666666667
10,Log_418,16.579669171985145,72.7508668218592,-0.18754609496198,16.199102713178295
10,Log_420,16.554550446962182,70.44465644153252,-0.40513478007934733,16.106003125
10,Log_421,16.69706945457277,71.57143813472061,-0.08995900680320641,16.295062984496123
10,Log_422,15.846111315768605,73.40015584818568,-0.9789155568135974,15.402817554240631
10,Log_423,16.057122933861116,72.02407839995692,-0.791125713147343,15.599053921568627
10,Log_424,16.381416095234144,73.65437943595457,-0.3885699768360828,16.001878167641326
10,Log_425,16.438386784376448,73.91910729105086,-0.49655856788618735,16.068451942740285
10,Log_426,15.569819906284984,68.90442680909716,-1.3647551050042213,14.980630573248408
10,Log_427,17.073335439901577,67.27841702495232,0.3169818078550049,16.598913294797686
10,Log_428,16.8676649127663,67.8519654196852,0.10402069928706426,16.38376453488372
10,Log_429,16.765452901668617,69.67529692252734,-0.018915882610268272,16.318426356589146
10,Log_430,16.383262422011303,73.37502611954893,-0.3794950344980296,15.996917153996101
10,Log_431,17.007533082407196,68.63808756317053,0.09745392888024168,16.55956845238095
10,Log_432,16.57881495440314,69.74208910207832,-0.21295761861954532,16.11466666666667
10,Log_433,16.76945922202803,69.21377919078084,0.011659909207314727,16.314964354527937
10,Log_434,16.764914641873133,71.35281150222875,-1.0721995300370857,16.35989448441247
10,Log_435,16.416041102055214,80.6621651762267,-0.5459105821316856,16.225481366459626
