Log_NR,T_mean,T_mean_day,T_mean_night,H_mean,UHI_mean,UHI_day,UHI_night,HI_mean,T_min,T_min_night,H_min,UHI_min,HI_min,T_max,T_max_day,H_max,UHI_max,HI_max,Tropical_night,Gfroerli_night,Summer_day,Hot_day,Very_hot_day
Log_420,19.47324217935435,20.8423785539423,16.660609989934162,66.31356689509586,0.9803941129970192,0.7002106339349592,1.5548747162685836,19.25375142797018,2.84428168154421,2.9938200961318344,33.18135347524224,-5.415426871137559,2.84,36.0845349813077,36.0845349813077,83.82986190585183,6.064316777294572,38.15,2,13,29,25,1
Log_421,19.215963356928164,20.618491056195218,16.33333887972337,68.87897655988023,0.7231152905708311,0.4763231361878762,1.2276036060577937,19.037027943590534,2.7828641184100107,2.7828641184100107,30.999313344014645,-5.204470893415731,2.78,35.569161516746775,35.569161516746775,87.6064698252842,6.472877088578613,36.79,1,15,28,22,1
Log_422,18.931427826460773,19.902417257038085,16.931076806715595,69.24518556229748,0.43857976010344224,-0.23975066296925637,1.8253415330500167,18.718016575237364,4.272907606622418,4.272907606622418,36.60128175783933,-7.962920576791021,3.02,32.88281071183337,32.88281071183337,84.59472037842374,6.683833066300457,34.47,3,11,29,16,0
Log_423,19.270351877141643,20.63310615669744,16.470175984537438,67.51481065756201,0.7775038107843097,0.4909382366900971,1.3644407108718604,19.061364224827717,3.2795452811474775,3.3089188982986215,32.42984664682994,-4.4220645456626215,3.06,36.10322728313115,36.10322728313115,85.55603875791562,5.74120698863203,37.24,2,14,30,24,1
Log_424,18.523810530488262,20.11328818670436,15.264874175251263,72.69660331791577,0.030962464130929825,-0.02887973330298117,0.15913890158568567,18.409879069992048,1.9230182345311633,1.9230182345311633,29.91020065613794,-4.667734798199433,1.92,35.0965133134966,35.0965133134966,89.2716105897612,7.813382162203396,36.38,0,17,32,18,1
Log_425,18.788886890122324,20.163944472364033,15.965318169148258,70.82322505800747,0.2960388237649932,0.021776552356689738,0.8595828954826791,18.627210493431253,4.168764782177462,4.168764782177462,32.68352788586252,-4.72114137483787,3.11,35.312809948882276,35.312809948882276,88.43617914091706,6.184481574731052,36.58,0,14,31,20,1
Log_426,17.556843427139462,18.507213397951052,15.609330140816178,67.24147948037671,-0.9360046392178709,-1.6349545220562895,0.5035948671506008,17.144519167079245,3.33562218661784,3.33562218661784,31.48187991149767,-7.241931792172128,2.98,32.83207446402686,32.83207446402686,84.5279621576257,6.152437628747993,32.23,4,14,29,5,0
Log_427,19.76277522327939,21.15239156833996,16.91140653377215,64.69877993478944,1.2699271569220607,1.01022364833262,1.8056712601065736,19.51663293994609,3.853665980010682,3.9097428854810374,28.24887464713512,-4.341954680704964,3.2,36.72274357213702,36.72274357213702,83.59143968871595,5.020218204013119,37.53,3,11,29,24,1
Log_428,19.671029526699137,21.034491099525866,16.871491307038628,64.98319486521848,1.1781814603418064,0.8923231795185227,1.7657560333730509,19.423672208344584,3.4905012588693083,3.6373693446250073,28.55977721828031,-4.977492942702375,3.03,36.29549095902952,36.29549095902952,84.65575646601053,6.112382696269172,36.99,2,13,29,27,1
Log_429,19.375738490292026,20.804037600773125,16.44422906366209,67.31895733519112,0.882890423934696,0.6618696807657818,1.3384937899965104,19.184528166289095,3.2127870603494344,3.2421606775005714,29.997940032043942,-4.49149309529259,3.14,35.70801861600671,35.70801861600671,84.72251468680858,4.870679789425502,36.7,1,14,30,22,1
Log_430,18.600665525285365,20.173139933091814,15.396800385445802,72.33492234190349,0.10781745892803297,0.03097201308447301,0.2910651117802243,18.47375697535148,2.545204852368961,2.622644388494699,30.041809719996948,-5.006866559853512,2.54,35.24071107042039,35.24071107042039,88.31029221026932,3.7064164187075512,36.41,0,18,33,18,1
Log_431,19.45712812779365,20.89082937428856,16.511661597443528,66.71054542218087,0.9642800614363162,0.7486614542812189,1.405926323777949,19.2529547969654,2.88700694285496,2.88700694285496,33.202334630350194,-5.677119096665898,2.89,35.43564507515069,35.43564507515069,84.2189669642176,6.240558480201422,37.92,3,13,28,26,1
Log_432,18.88993593264419,20.292606146908927,16.04621245282944,67.57365027937597,0.39708786628685566,0.1504382269015847,0.9404771791638615,18.635496142461594,3.7575341420614943,3.8296330205233815,30.53772793163958,-5.7412069886320225,3.07,35.24071107042039,35.24071107042039,84.53559166857404,6.595712214847026,36.14,1,16,31,18,1
Log_433,19.083162291490975,20.69121793532165,15.794601572948691,67.51833038225125,0.5903142251336432,0.5490500153143081,0.6888662992831127,18.858155739746802,3.680094605935757,3.680094605935757,29.107194628824296,-6.125734340428778,2.95,36.076523994811936,36.076523994811936,84.06828412298772,5.458152132448319,37.56,0,16,28,26,1
Log_434,19.01420861375448,20.1890680738392,16.529332707223993,67.95835638966507,0.4186801484536806,0.046900153831857284,1.1537226189244898,18.778577270885133,4.310292210269324,4.328984512092774,29.719462882429234,-5.75188830395971,2.97,35.41962310215915,35.41962310215915,84.81979095140001,5.431448844129093,36.48,1,9,30,20,1
Log_435,18.950563487972467,20.414652474048605,15.949963827406188,75.60072893971632,0.45771542161513634,0.2724845540412637,0.8442285537406098,18.94425166094058,3.7575341420614943,3.7575341420614943,23.955367360952163,-6.499580376897841,3.3,36.67467765316243,36.67467765316243,96.12291142137788,5.629053177691304,38.1,0,16,27,25,1
Log_436,19.363765362275785,20.69147966417436,16.64443463198294,65.92245994348076,0.870917295918454,0.5493117441670178,1.5386993583173618,19.111763146716626,4.1607537956817,4.1607537956817,26.587548638132297,-4.937438010223538,2.95,35.69199664301519,35.69199664301519,83.52849622339208,4.948119325551232,37.03,1,12,28,22,1
Log_437,18.93649313281309,20.23999652508257,16.262349296736016,67.39396765744985,0.44364506645575924,0.09782860507522816,1.156614023070438,18.68589532136106,3.867017624170288,3.867017624170288,29.706111238269628,-5.086976424811169,3.02,35.13656824597544,35.13656824597544,83.84512092774852,5.084306095979244,36.47,0,13,35,14,1
Log_438,19.3808227774781,20.744323266352584,16.58565623484215,66.78195654148875,0.8879747111207692,0.6021553463452431,1.4799209611765733,19.157627987442613,3.8723582818341313,3.8723582818341313,28.002822919050892,-4.966811627374682,3.1,36.0471503776608,36.0471503776608,86.00045777065691,5.922789349202716,36.83,1,12,30,23,1
