Log_NR,T_mean,T_mean_day,T_mean_night,H_mean,UHI_mean,UHI_day,UHI_night,HI_mean,T_min,T_min_night,H_min,UHI_min,HI_min,T_max,T_max_day,H_max,UHI_max,HI_max,Tropical_night,Gfroerli_night,Summer_day,Hot_day,Very_hot_day
Log_421,17.227488460171326,18.502799491141683,14.61572174835537,70.64220628340256,0.5980327646329527,0.37613771614766045,1.0450412806420688,16.88071581473752,2.7588311589227104,2.777523460746167,30.999313344014645,-5.204470893415731,2.76,35.569161516746775,35.569161516746775,89.52338445105669,6.472877088578613,36.79,1,42,38,26,1
Log_422,16.993904025727826,17.875166875565913,15.21318096860716,70.71570899771287,0.34768848065350944,-0.2861623488450169,1.6242548203120917,16.613735791096367,3.685435263599601,3.960479133287557,36.60128175783933,-7.962920576791021,3.02,32.88281071183337,32.88281071183337,86.70809491111619,6.683833066300457,34.47,3,33,38,17,0
Log_423,17.29887736003998,18.535363886221052,14.74648488473268,69.30650355869916,0.638530681161983,0.3774186931489199,1.1509660041449747,16.923753521739936,3.2795452811474775,3.3089188982986215,32.42984664682994,-4.4220645456626215,3.06,36.10322728313115,36.10322728313115,86.86259250782025,5.74120698863203,37.24,2,41,40,28,1
Log_424,16.632061417296377,18.02899863756343,13.761694524676065,73.79661253532768,-0.010065579919394132,-0.10900429601095474,0.1922580439045877,16.329084847611988,1.9230182345311633,1.9230182345311633,29.91020065613794,-4.667734798199433,1.92,35.0965133134966,35.0965133134966,89.56534676127261,7.813382162203396,36.38,0,50,43,20,1
Log_425,17.05984799374753,18.300052810521095,14.484249134455926,72.57774100917347,0.23330288590287157,-0.03284700292345375,0.7789567908735308,16.753312129389457,3.5652704661631205,3.696116578927288,32.68352788586252,-5.078965438315407,3.11,35.312809948882276,35.312809948882276,89.79804684519722,6.184481574731052,36.58,0,41,40,24,1
Log_426,16.08119075453898,16.910136139355856,14.228288288431484,68.7951158061277,-0.9018712883849809,-1.5465430176815613,0.3816172827330307,15.556977051885312,3.33562218661784,3.33562218661784,31.48187991149767,-7.241931792172128,2.98,32.83207446402686,32.83207446402686,86.0138094148165,6.152437628747993,32.23,4,41,36,5,0
Log_427,17.855697524962068,19.07749340676862,15.225782845996685,66.46473459003171,1.1076134616068527,0.9007902164572233,1.5672511901800135,17.45397806014824,3.621347371633476,3.816281376363776,28.24887464713512,-4.341954680704964,3.07,36.72274357213702,36.72274357213702,85.1020828564889,5.914778362706956,37.53,3,34,41,28,1
Log_428,17.633171616951635,18.86960086598191,15.092590189387309,66.79069812500975,1.006243365777133,0.7490344257120101,1.5184776736619263,17.217801264226846,3.2207980468451964,3.2207980468451964,28.55977721828031,-4.977492942702375,3.03,36.29549095902952,36.29549095902952,86.71953917753872,6.112382696269172,36.99,2,39,40,31,1
Log_429,17.42221325194788,18.706215680446412,14.74583084376617,69.07726025894448,0.7689838838107345,0.5785652999962351,1.1541745414719882,17.061984971395507,2.9217212176699476,2.9217212176699476,29.997940032043942,-4.49149309529259,2.92,35.70801861600671,35.70801861600671,86.63370717936981,6.053635461966877,36.7,1,41,41,26,1
Log_430,16.7595587391046,18.130106660510386,13.991360691264388,73.32684642992419,0.14062483045084742,0.021199842998339304,0.4153613982928231,16.45128185881273,2.3556115053025124,2.3556115053025124,30.041809719996948,-5.006866559853512,2.36,35.24071107042039,35.24071107042039,89.90867475394828,3.751812008850237,36.41,0,47,45,20,1
Log_431,17.54841248361778,18.857172659831782,14.834078619730976,68.43148845879692,0.7685767906985819,0.5837354343822911,1.1884835963143356,17.181496772161445,2.88700694285496,2.88700694285496,33.202334630350194,-5.677119096665898,2.89,35.43564507515069,35.43564507515069,85.49309529259175,6.240558480201422,37.92,3,39,40,30,1
Log_432,17.050205081251473,18.354678308200597,14.369105432982881,69.23820016127593,0.31518486703699716,0.13018795046916937,0.7471658624317297,16.644643536716693,3.391699092088196,3.391699092088196,30.53772793163958,-5.7412069886320225,3.07,35.24071107042039,35.24071107042039,85.90508888380255,6.595712214847026,36.14,1,48,40,22,1
Log_433,17.1673772818079,18.6442737152454,14.14157085295915,68.89145559148933,0.4931876573794606,0.47141304870000955,0.5666378779183483,16.77041872342765,3.1193255512321656,3.130006866559853,29.107194628824296,-6.125734340428778,2.95,36.076523994811936,36.076523994811936,85.5579461356527,5.490196078431367,37.56,0,47,38,30,1
Log_434,18.136923961314448,19.223642657607286,15.602998264129319,68.35057337605,0.3437898675919421,0.008547794110099637,1.0106992498341842,17.81480153498427,4.310292210269324,4.328984512092774,29.719462882429234,-5.75188830395971,2.97,35.41962310215915,35.41962310215915,84.81979095140001,5.431448844129093,36.48,1,21,40,23,1
Log_435,17.141360398000156,18.486398802975014,14.42653056403177,78.14275556102508,0.34448005176417196,0.18046477683114462,0.6729463804522993,16.9979204812226,3.1406881818875405,3.423743038071258,23.955367360952163,-6.499580376897841,3.14,36.67467765316243,36.67467765316243,99.2872510872053,5.629053177691304,38.1,0,43,38,29,1
Log_436,17.398401110222135,18.6121587264737,14.906710243077633,67.6515349458131,0.7628292812360208,0.491108796467711,1.3340060591255085,16.983350579807023,3.4931715877012266,3.6079957274738703,26.587548638132297,-4.937438010223538,2.95,35.69199664301519,35.69199664301519,85.12306401159685,4.948119325551232,37.03,1,38,38,26,1
Log_437,16.775008997398054,17.982387531278537,14.340512734875956,68.86265631632871,0.3867638838409493,0.08280319568984995,0.9968206905140056,16.331838581024893,3.2661936369878717,3.2661936369878717,29.706111238269628,-5.086976424811169,3.02,35.13656824597544,35.13656824597544,85.39963378347448,6.184481574731059,36.47,0,48,46,15,1
Log_438,17.50484193188673,18.74540801665152,14.948696689606916,68.64120806409566,0.7758230650787923,0.5265855185813271,1.2784013460502628,17.129620265139632,3.714808880750745,3.7335011825741944,28.002822919050892,-4.966811627374682,3.07,36.0471503776608,36.0471503776608,87.33562218661784,5.922789349202716,36.83,1,36,40,27,1
